Planet,MaxX,MaxY,MaxZ,RmsX,RmsY,RmsZ
Jupiter,8,2244620117633E-06,1,8312238223572308E-06,1,3053086384441496E-06,6,8663615815814656E-06,1,3492694933380887E-06,1,282626341949066E-06
Mars,3,981686487186664E-07,3,3507933894227904E-07,1,0502097569917764E-07,3,6744282888290056E-07,3,2528695939035434E-07,9,393502230155661E-08
Mercury,1,5734362474040253E-07,1,496368043363283E-07,4,089260289543914E-08,1,4313298887109278E-07,1,282055159905449E-07,3,274938067220258E-08
Neptune,0,000274812230919963,0,0003191580662118554,1,230083899634488E-05,0,00026564152959136013,0,0002788522869536538,1,0783252447913956E-05
Saturn,1,447130983089906E-05,7,116267337181625E-06,3,533600326445979E-06,1,072678663172538E-05,5,762848661514019E-06,2,4441180547418853E-06
Uranus,0,00012451895101950328,1,2819499403349255E-05,3,6690676048146923E-06,0,00010803858562208213,1,0621929912105611E-05,2,5339786395867375E-06
Venus,2,7100686705860966E-07,6,966492371862643E-08,8,701810720406454E-08,2,61552351910768E-07,5,88417668898624E-08,8,20611128925097E-08
